video,raag,tonic_hz,note,hum_hz,snap_cents,snapped,clip,timestamp
bmTVpnGbML8,Jaijaivanti,141.3492,C♯3,291.9734,-55.9,yes,train_[bmTVpnGbML8]_chunk1.mp3,2026-08-23T22:32:28
jFRUQaUEuSs,Jaijaivanti,155.0167,D♯3,311.1270,-6.1,yes,test_[jFRUQaUEuSs]_chunk1.mp3,2026-08-23T22:32:54
kE2sRsfA43s,Jaijaivanti,142.1406,C♯3,283.6615,3.8,yes,train_[kE2sRsfA43s]_chunk1.mp3,2026-08-23T22:33:22
-4Kx_UwbUwg,Jog,156.1261,D♯3,316.5654,-23.8,yes,train_[-4Kx_UwbUwg]_chunk1.mp3,2026-08-23T22:34:05
EFvX7R_CHKk,Jog,167.2420,E3,335.3893,-4.7,yes,train_[EFvX7R_CHKk]_chunk1.mp3,2026-08-23T22:35:05
Uy2sC5jRgtc,Jog,233.0819,A♯3,233.0819,0.0,NO,train_[Uy2sC5jRgtc]_chunk1.mp3,2026-08-23T22:35:58
Z-pojkYurPs,Jog,146.5051,D3,293.6648,-3.9,yes,train_[Z-pojkYurPs]_chunk1.mp3,2026-08-23T22:36:17
iOfK_Nlnaj0,Jog,162.0598,E3,325.8415,-9.2,yes,test_[iOfK_Nlnaj0]_chunk1.mp3,2026-08-23T22:36:39
l9v1LaIZfys,Jog,139.3384,C♯3,280.4033,-10.7,yes,train_[l9v1LaIZfys]_chunk1.mp3,2026-08-23T22:37:21
w-HjuopkVnc,Jog,164.9707,E3,329.6276,1.6,yes,train_[w-HjuopkVnc]_chunk1.mp3,2026-08-23T22:37:43
5WKd7zXf1wg,Kafi,156.0656,D♯3,316.5654,-24.4,yes,train_[5WKd7zXf1wg]_chunk1.mp3,2026-08-23T22:37:57
DFqqyzKUmjs,Kafi,155.2250,D♯3,314.7421,-23.8,yes,train_[DFqqyzKUmjs]_chunk1.mp3,2026-08-23T22:38:27
PdBnw8lfK8A,Kafi,146.9152,D3,293.6648,1.0,yes,train_[PdBnw8lfK8A]_chunk1.mp3,2026-08-23T22:38:48
UheTkqItlok,Kafi,138.8784,C♯3,280.4033,-16.4,yes,train_[UheTkqItlok]_chunk1.mp3,2026-08-23T22:39:12
Xk_6jvStXSA,Kafi,138.8796,C♯3,280.4033,-16.4,yes,train_[Xk_6jvStXSA]_chunk1.mp3,2026-08-23T22:39:52
ZQ32rD4qxJk,Kafi,139.7100,C♯3,280.4033,-6.1,yes,train_[ZQ32rD4qxJk]_chunk1.mp3,2026-08-23T22:40:22
cYtARn9x0NI,Kafi,161.9894,E3,162.9207,-9.9,yes,train_[cYtARn9x0NI]_chunk1.mp3,2026-08-23T22:40:41
kH7WSVsZLvY,Kafi,147.0712,D3,293.6648,2.8,yes,test_[kH7WSVsZLvY]_chunk1.mp3,2026-08-23T22:41:15
0RLuKYn-HFs,Kalawati,136.0065,C♯3,280.4033,-52.6,yes,test_[0RLuKYn-HFs]_chunk1.mp3,2026-08-23T22:41:42
QAto04kp90M,Kalawati,109.7973,A2,220.0000,-3.2,yes,train_[QAto04kp90M]_chunk1.mp3,2026-08-23T22:41:58
Um_VJ3I1jKc,Kalawati,147.4743,D3,297.0770,-12.4,yes,train_[Um_VJ3I1jKc]_chunk1.mp3,2026-08-23T22:42:43
i8W-2qwV2Bw,Kalawati,147.1949,D3,295.3660,-5.7,yes,train_[i8W-2qwV2Bw]_chunk1.mp3,2026-08-23T22:43:44
LZeIrHA0fDQ,KaushikDhwani,165.2256,E3,329.6276,4.3,yes,train_[LZeIrHA0fDQ]_chunk1.mp3,2026-08-23T22:44:35
Ly_cmNymHx4,KaushikDhwani,146.4893,D3,293.6648,-4.0,yes,train_[Ly_cmNymHx4]_chunk1.mp3,2026-08-23T22:44:57
ZA2zHAaNj0Y,KaushikDhwani,119.2650,A♯2,238.5299,0.0,NO,train_[ZA2zHAaNj0Y]_chunk1.mp3,2026-08-23T22:45:44
esXNFKn_fzU,KaushikDhwani,138.2904,C♯3,277.1826,-3.8,yes,train_[esXNFKn_fzU]_chunk1.mp3,2026-08-23T22:46:03
iu3r1jCjTtw,KaushikDhwani,138.6593,C♯3,282.0277,-29.2,yes,test_[iu3r1jCjTtw]_chunk1.mp3,2026-08-23T22:46:19
pmeCZns8dWA,KaushikDhwani,234.4321,A♯3,234.4321,0.0,NO,train_[pmeCZns8dWA]_chunk1.mp3,2026-08-23T22:47:28
vaU6gmVSWR4,KaushikDhwani,164.7217,E3,327.7290,9.0,yes,train_[vaU6gmVSWR4]_chunk1.mp3,2026-08-23T22:47:48
-yybypGYOdU,Kedar,116.3120,A♯2,235.7902,-23.4,yes,train_[-yybypGYOdU]_chunk1.mp3,2026-08-23T22:48:23
H6teBFimj1g,Kedar,155.1090,D♯3,311.1270,-5.1,yes,test_[H6teBFimj1g]_chunk1.mp3,2026-08-23T22:48:46
P3S3E_qxqEg,Kedar,147.5841,D3,297.0770,-11.2,yes,train_[P3S3E_qxqEg]_chunk1.mp3,2026-08-23T22:49:12
XxF-FB0hijA,Kedar,166.5489,E3,331.5371,8.1,yes,train_[XxF-FB0hijA]_chunk1.mp3,2026-08-23T22:50:25
fkXxgnREbPY,Kedar,232.7999,A♯3,234.4321,-12.1,yes,train_[fkXxgnREbPY]_chunk1.mp3,2026-08-23T22:50:39
hNn2tBohjxE,Kedar,146.9961,D3,297.0770,-18.1,yes,train_[hNn2tBohjxE]_chunk1.mp3,2026-08-23T22:51:07
iErLWp8u3S0,Kedar,155.1017,D♯3,309.3350,4.9,yes,train_[iErLWp8u3S0]_chunk1.mp3,2026-08-23T22:51:28
l-CUA-O40dI,Kedar,146.9122,D3,298.7979,-29.1,yes,train_[l-CUA-O40dI]_chunk1.mp3,2026-08-23T22:52:05
pDMpMJpcYxc,Kedar,133.3391,C3,263.1411,23.1,yes,train_[pDMpMJpcYxc]_chunk1.mp3,2026-08-23T22:52:37
71W_qyRs6Jw,Keerwani,138.5636,C♯3,277.1826,-0.3,yes,train_[71W_qyRs6Jw]_chunk1.mp3,2026-08-23T22:52:54
9eGTNqMIVpY,Keerwani,136.9995,C♯3,273.9989,0.0,NO,train_[9eGTNqMIVpY]_chunk1.mp3,2026-08-23T22:54:04
ZDnZhRNI-ic,Keerwani,110.5959,A2,225.1423,-30.6,yes,train_[ZDnZhRNI-ic]_chunk1.mp3,2026-08-23T22:55:44
xvWXCKygxJQ,Keerwani,221.9071,A3,442.5489,4.9,yes,train_[xvWXCKygxJQ]_chunk1.mp3,2026-08-23T22:56:58
6VQlawpPjnM,Khamaj,156.8392,D♯3,316.5654,-15.9,yes,train_[6VQlawpPjnM]_chunk1.mp3,2026-08-23T22:57:17
7kEBHSxALRQ,Khamaj,167.4515,E3,335.3893,-2.5,yes,train_[7kEBHSxALRQ]_chunk1.mp3,2026-08-23T22:57:31
BX2ugczrNKI,Khamaj,117.1063,A♯2,234.4321,-1.6,yes,test_[BX2ugczrNKI]_chunk1.mp3,2026-08-23T22:57:48
MtrCE-U_R10,Khamaj,139.2507,C♯3,278.7883,-1.8,yes,train_[MtrCE-U_R10]_chunk1.mp3,2026-08-23T22:58:08
S18t5iaNT-4,Khamaj,138.3802,C♯3,277.1826,-2.6,yes,train_[S18t5iaNT-4]_chunk1.mp3,2026-08-23T22:58:24
eGTVyNka3H0,Khamaj,143.4125,D3,283.6615,19.2,yes,train_[eGTVyNka3H0]_chunk1.mp3,2026-08-23T22:59:11
jZtlczq3yEs,Khamaj,142.2122,C♯3,285.3047,-5.4,yes,train_[jZtlczq3yEs]_chunk1.mp3,2026-08-23T23:00:06
kxaXJJZ3tCE,Khamaj,136.8815,C♯3,278.7883,-31.5,yes,train_[kxaXJJZ3tCE]_chunk1.mp3,2026-08-23T23:00:58
0xb3rorA4Wo,Lalit,143.4787,D3,286.9575,0.0,NO,train_[0xb3rorA4Wo]_chunk1.mp3,2026-08-23T23:02:22
1AYckL0Qx1Q,Lalit,189.1007,F♯3,385.2612,-32.0,yes,train_[1AYckL0Qx1Q]_chunk1.mp3,2026-08-23T23:02:43
GDxVV60_RcU,Lalit,144.4676,D3,288.6198,1.9,yes,train_[GDxVV60_RcU]_chunk1.mp3,2026-08-23T23:03:02
NAc1yRhmoPs,Lalit,149.3990,D3,298.7979,0.0,NO,train_[NAc1yRhmoPs]_chunk1.mp3,2026-08-23T23:04:44
SGcwv941UY8,Lalit,147.6637,D3,302.2698,-40.2,yes,test_[SGcwv941UY8]_chunk1.mp3,2026-08-23T23:08:25
W4p_lZa4OHs,Lalit,141.9164,C♯3,293.6648,-59.0,yes,train_[W4p_lZa4OHs]_chunk1.mp3,2026-08-23T23:09:07
W8R--A38sxk,Lalit,146.5833,D3,300.5289,-42.9,yes,train_[W8R--A38sxk]_chunk1.mp3,2026-08-23T23:09:50
Xdy2gufZoFU,Lalit,145.9867,D3,291.9734,0.0,NO,train_[Xdy2gufZoFU]_chunk1.mp3,2026-08-23T23:10:38
hJ8dQge_OJY,Lalit,135.8163,C♯3,273.9989,-15.0,yes,train_[hJ8dQge_OJY]_chunk1.mp3,2026-08-23T23:11:05
smYksULTb4I,Lalit,169.3814,E3,339.2864,-2.7,yes,train_[smYksULTb4I]_chunk1.mp3,2026-08-23T23:11:50
0LaVj8XibHU,Madhukauns,164.8556,E3,331.5371,-9.6,yes,train_[0LaVj8XibHU]_chunk1.mp3,2026-08-23T23:12:14
0WXxKXfzwlc,Madhukauns,146.2108,D3,291.9734,2.7,yes,train_[0WXxKXfzwlc]_chunk1.mp3,2026-08-25T18:10:37
CVPpaK8nUnI,Madhukauns,145.1211,D3,295.3660,-30.3,yes,train_[CVPpaK8nUnI]_chunk1.mp3,2026-08-25T18:11:04
KlxTnbFROks,Madhukauns,133.1505,C3,267.7408,-9.3,yes,train_[KlxTnbFROks]_chunk1.mp3,2026-08-25T18:11:34
UiIESugmOCI,Madhukauns,164.5,E3,164.5,0.0,NO,train_[UiIESugmOCI]_chunk1.mp3,2026-08-30T18:00:00
nHGNpBTapFk,Madhukauns,138.1343,C♯3,275.5862,4.3,yes,train_[nHGNpBTapFk]_chunk1.mp3,2026-08-25T18:12:55
pZMzLk2XFWE,Madhukauns,109.0463,A2,437.4658,-5.1,yes,train_[pZMzLk2XFWE]_chunk1.mp3,2026-08-25T18:13:15
rlFNYhNNAE0,Madhukauns,164.0966,E3,164.8138,-7.5,yes,train_[rlFNYhNNAE0]_chunk1.mp3,2026-08-25T18:13:38
91FUcZs3_Gs,Madhuvanti,148.8408,D3,298.7979,-6.5,yes,train_[91FUcZs3_Gs]_chunk1.mp3,2026-08-25T18:14:03
JfXxDLXytqk,Madhuvanti,110.4059,A2,222.5563,-13.6,yes,train_[JfXxDLXytqk]_chunk1.mp3,2026-08-25T18:15:18
OCS8S8jdJWw,Madhuvanti,234.7237,A♯3,233.0819,12.2,yes,train_[OCS8S8jdJWw]_chunk1.mp3,2026-08-25T18:16:16
UNySlg3dewg,Madhuvanti,232.6208,A♯3,233.0819,-3.4,yes,train_[UNySlg3dewg]_chunk1.mp3,2026-08-25T18:16:42
XqsL5q9cHMQ,Madhuvanti,129.3146,C3,258.6205,0.1,yes,test_[XqsL5q9cHMQ]_chunk1.mp3,2026-08-25T18:16:56
a7g1cluM1Mk,Madhuvanti,146.8714,D3,290.2917,20.5,yes,train_[a7g1cluM1Mk]_chunk1.mp3,2026-08-25T18:17:52
fWYOBv0iUko,Madhuvanti,232.8739,A♯3,233.0819,-1.5,yes,train_[fWYOBv0iUko]_chunk1.mp3,2026-08-25T18:18:39
nMo351735os,Madhuvanti,166.8357,E3,337.3322,-18.9,yes,train_[nMo351735os]_chunk1.mp3,2026-08-25T18:19:03
rTJbBYlFQRo,Madhuvanti,116.6855,A♯2,235.7902,-17.9,yes,train_[rTJbBYlFQRo]_chunk1.mp3,2026-08-25T18:19:28
uB8txmJ1xUo,Madhuvanti,154.4308,D♯3,305.7820,17.3,yes,train_[uB8txmJ1xUo]_chunk1.mp3,2026-08-25T18:19:57
vgwqFbC-boQ,Madhuvanti,147.7163,D3,291.9734,20.4,yes,train_[vgwqFbC-boQ]_chunk1.mp3,2026-08-25T18:20:22
81undkurwc8,Malhar,156.0743,D♯3,309.3350,15.7,yes,train_[81undkurwc8]_chunk1.mp3,2026-08-25T18:20:45
IyqWi5oPpJs,Malhar,166.0239,E3,329.6276,12.7,yes,train_[IyqWi5oPpJs]_chunk1.mp3,2026-08-25T18:21:24
N9X75HWT79g,Malhar,146.7668,D3,302.2698,-50.8,yes,train_[N9X75HWT79g]_chunk1.mp3,2026-08-25T18:21:49
RqwE6K8Dy-g,Malhar,154.8430,D♯3,312.9293,-18.0,yes,test_[RqwE6K8Dy-g]_chunk1.mp3,2026-08-25T18:22:20
eA2_S9Pyds4,Malhar,116.4112,A♯2,231.7394,8.1,yes,train_[eA2_S9Pyds4]_chunk1.mp3,2026-08-25T18:24:01
joxB9QNW918,Malhar,116.6498,A♯2,235.7902,-18.4,yes,train_[joxB9QNW918]_chunk1.mp3,2026-08-25T18:24:58
mUI_eTmZpEI,Malhar,155.8263,D♯3,314.7421,-17.1,yes,train_[mUI_eTmZpEI]_chunk1.mp3,2026-08-25T18:26:39
mtVmpXk5ir4,Malhar,140.8044,C♯3,282.0277,-2.6,yes,train_[mtVmpXk5ir4]_chunk1.mp3,2026-08-25T18:26:58
4DQZkKgACeA,Malkauns,147.1523,D3,293.6648,3.8,yes,train_[4DQZkKgACeA]_chunk1.mp3,2026-08-25T18:29:23
9TqCqkTmn8o,Malkauns,167.0378,E3,335.3893,-6.8,yes,test_[9TqCqkTmn8o]_chunk1.mp3,2026-08-25T18:30:05
HTXm4asuA4s,Malkauns,166.7688,E3,84.3331,-19.6,yes,train_[HTXm4asuA4s]_chunk1.mp3,2026-08-25T18:30:29
LTFMaLfEmEk,Malkauns,164.3159,E3,331.5371,-15.2,yes,train_[LTFMaLfEmEk]_chunk1.mp3,2026-08-25T18:31:04
VPnftPyRQDo,Malkauns,116.9534,A♯2,234.4321,-3.9,yes,train_[VPnftPyRQDo]_chunk1.mp3,2026-08-25T18:32:06
c1j0EsO-MgE,Malkauns,146.2377,D3,291.9734,3.0,yes,train_[c1j0EsO-MgE]_chunk1.mp3,2026-08-25T18:32:31
g8Su1mShMKc,Malkauns,155.7725,D♯3,309.3350,12.3,yes,train_[g8Su1mShMKc]_chunk1.mp3,2026-08-25T18:32:59
ivUt1A4kb58,Malkauns,163.85,E3,163.85,0.0,NO,train_[ivUt1A4kb58]_chunk1.mp3,2026-08-30T18:00:00
ssO9fHiDJrg,Malkauns,146.9569,D3,295.3660,-8.5,yes,train_[ssO9fHiDJrg]_chunk1.mp3,2026-08-25T18:34:24
u10S3f-p3Wk,Malkauns,137.4894,C♯3,278.7883,-23.8,yes,train_[u10S3f-p3Wk]_chunk1.mp3,2026-08-25T18:34:44
xGBsWT5199U,Malkauns,130.6036,C3,264.6655,-22.8,yes,train_[xGBsWT5199U]_chunk1.mp3,2026-08-25T18:35:35
1XCHYKashvY,MaruBihag,232.4211,A♯3,233.0819,-4.9,yes,train_[1XCHYKashvY]_chunk1.mp3,2026-08-25T18:36:33
C7CaMnJY3WI,MaruBihag,116.4817,A♯2,231.7394,9.1,yes,test_[C7CaMnJY3WI]_chunk1.mp3,2026-08-25T18:37:20
JMIwVD2Hfk8,MaruBihag,147.2293,D3,293.6648,4.7,yes,train_[JMIwVD2Hfk8]_chunk1.mp3,2026-08-25T18:38:15
P86AdY-2es4,MaruBihag,104.7573,G♯2,210.0652,-4.5,yes,train_[P86AdY-2es4]_chunk1.mp3,2026-08-25T18:38:38
RJr_ENAsCMg,MaruBihag,138.3098,C♯3,278.7883,-13.5,yes,train_[RJr_ENAsCMg]_chunk1.mp3,2026-08-25T18:39:16
SopMB5_UgKA,MaruBihag,156.6577,D♯3,309.3350,22.1,yes,train_[SopMB5_UgKA]_chunk1.mp3,2026-08-25T18:39:41
wcDkpwuDxcI,MaruBihag,146.6771,D3,295.3660,-11.8,yes,train_[wcDkpwuDxcI]_chunk1.mp3,2026-08-25T18:40:06
e9ltBRwVZEA,Madhukauns,158.8268,D♯3,155.5635,35.9,yes,train_[e9ltBRwVZEA]_chunk1.mp3,2026-08-26T09:54:44
051cKPUmGIs,Marwa,166.6927,E3,331.5371,9.6,yes,train_[051cKPUmGIs]_chunk1.mp3,2026-08-26T09:57:23
U6TXJXZgSu0,Marwa,138.7072,C♯3,272.4208,31.4,yes,train_[U6TXJXZgSu0]_chunk1.mp3,2026-08-26T10:01:26
k7wEa1NnJ7s,Marwa,233.2209,A♯3,234.4321,-9.0,yes,train_[k7wEa1NnJ7s]_chunk1.mp3,2026-08-26T10:01:54
6NIxbswJ4lw,Marwa,141.83,C♯3,141.83,0.0,NO,train_[6NIxbswJ4lw]_chunk0.mp3,2026-08-26T12:00:00
BtBG9CinJzU,Marwa,136.21,C3,136.21,0.0,NO,train_[BtBG9CinJzU]_chunk0.mp3,2026-08-26T12:00:01
nieORT40gzc,Marwa,145.145,D3,145.145,0.0,NO,train_[nieORT40gzc]_chunk0.mp3,2026-08-26T12:00:02
1hWAOReJehw,Multani,231.3370,A♯3,234.4321,-23.0,yes,train_[1hWAOReJehw]_chunk1.mp3,2026-08-26T10:04:39
7y4P5BfXT_0,Multani,115.7001,A♯2,237.1561,-42.5,yes,train_[7y4P5BfXT_0]_chunk1.mp3,2026-08-26T10:05:14
HWukj_DQ8W8,Multani,165.2701,E3,327.7290,14.8,yes,train_[HWukj_DQ8W8]_chunk1.mp3,2026-08-26T10:05:48
NbUnt-UPhrM,Multani,138.4513,C♯3,275.5862,8.3,yes,train_[NbUnt-UPhrM]_chunk1.mp3,2026-08-26T10:06:10
f5JARal8cL4,Multani,143.0236,D3,283.6615,14.5,yes,train_[f5JARal8cL4]_chunk1.mp3,2026-08-26T10:07:01
fB9gMVtDFKs,Multani,135.8693,C♯3,272.4208,-4.3,yes,test_[fB9gMVtDFKs]_chunk1.mp3,2026-08-26T10:07:21
mvl0pOjzHXk,Multani,167.6947,E3,335.3893,0.0,NO,train_[mvl0pOjzHXk]_chunk1.mp3,2026-08-26T10:09:32
04TT9pJF-Fs,Pilu,155.2272,D♯3,309.3350,6.3,yes,train_[04TT9pJF-Fs]_chunk1.mp3,2026-08-26T10:10:54
6XxlF7MRaaw,Pilu,139.9390,C♯3,280.4033,-3.2,yes,train_[6XxlF7MRaaw]_chunk1.mp3,2026-08-26T10:11:53
KZ3giG2OdDM,Pilu,145.8037,D3,288.6198,17.8,yes,train_[KZ3giG2OdDM]_chunk1.mp3,2026-08-26T10:13:34
PGtndYRaZCM,Pilu,100.9805,G♯2,202.9096,-8.1,yes,train_[PGtndYRaZCM]_chunk1.mp3,2026-08-26T10:15:59
tIC9MSf0O_c,Pilu,119.2799,A♯2,239.9117,-9.8,yes,train_[tIC9MSf0O_c]_chunk1.mp3,2026-08-26T10:28:24
0VB7jujlb5o,PuriyaDhanashri,135.5815,C♯3,270.8518,2.0,yes,train_[0VB7jujlb5o]_chunk1.mp3,2026-08-26T15:22:26
8-QwyuM8wvg,PuriyaDhanashri,150.2930,D3,297.0770,20.3,yes,test_[8-QwyuM8wvg]_chunk1.mp3,2026-08-26T15:22:48
9X3vjQXx7xw,PuriyaDhanashri,116.4161,A♯2,235.7902,-21.9,yes,train_[9X3vjQXx7xw]_chunk1.mp3,2026-08-26T15:23:03
GOdO8EKn-rs,PuriyaDhanashri,146.9726,D3,291.9734,11.7,yes,train_[GOdO8EKn-rs]_chunk1.mp3,2026-08-26T15:24:14
KP6Sz7Gxwtg,PuriyaDhanashri,124.1269,B2,246.9417,9.2,yes,train_[KP6Sz7Gxwtg]_chunk1.mp3,2026-08-26T15:27:54
jPIl2G88w_A,PuriyaDhanashri,137.4043,C♯3,275.5862,-4.9,yes,train_[jPIl2G88w_A]_chunk1.mp3,2026-08-26T15:31:10
weCnFtHhPWo,PuriyaDhanashri,151.1268,D3,300.5289,9.9,yes,train_[weCnFtHhPWo]_chunk1.mp3,2026-08-26T15:31:32
6RDsEr4gqUY,PuriyaKalyan,131.1759,C3,263.1411,-5.2,yes,train_[6RDsEr4gqUY]_chunk1.mp3,2026-08-26T15:31:50
8ilYTjiSE20,PuriyaKalyan,140.9116,C♯3,280.4033,8.7,yes,train_[8ilYTjiSE20]_chunk1.mp3,2026-08-26T15:32:08
FzyM_b5m3ls,PuriyaKalyan,140.1725,C♯3,283.6615,-20.4,yes,train_[FzyM_b5m3ls]_chunk1.mp3,2026-08-26T15:32:33
WhuzYxmaPlc,PuriyaKalyan,164.2374,E3,323.9648,23.9,yes,train_[WhuzYxmaPlc]_chunk1.mp3,2026-08-26T15:33:52
Xi3xlZyCqQQ,PuriyaKalyan,163.5869,E3,323.9648,17.1,yes,train_[Xi3xlZyCqQQ]_chunk1.mp3,2026-08-26T15:34:16
ZCBWNVmeOYQ,PuriyaKalyan,140.9988,C♯3,283.6615,-10.2,yes,test_[ZCBWNVmeOYQ]_chunk1.mp3,2026-08-26T15:35:04
dibjZ3L5-V0,PuriyaKalyan,155.3665,D♯3,314.7421,-22.2,yes,train_[dibjZ3L5-V0]_chunk1.mp3,2026-08-26T15:36:26
lpn7Og0DTDE,PuriyaKalyan,146.8415,D3,293.6648,0.1,yes,train_[lpn7Og0DTDE]_chunk1.mp3,2026-08-26T15:36:48
13_Mbm_zrhg,Sarang,163.6874,E3,327.7290,-1.9,yes,train_[13_Mbm_zrhg]_chunk1.mp3,2026-08-26T15:37:12
C3V4xxcjff4,Sarang,139.5168,C♯3,278.7883,1.5,yes,test_[C3V4xxcjff4]_chunk1.mp3,2026-08-26T15:37:48
DeXbKNqbz9Y,Sarang,142.8716,D3,286.9575,-7.3,yes,train_[DeXbKNqbz9Y]_chunk1.mp3,2026-08-26T15:38:11
EiV4GQFAtKY,Sarang,156.2308,D♯3,311.1270,7.4,yes,train_[EiV4GQFAtKY]_chunk1.mp3,2026-08-26T15:39:01
LwPIdZTKzI4,Sarang,116.0309,A♯2,460.8094,12.4,yes,train_[LwPIdZTKzI4]_chunk1.mp3,2026-08-26T15:39:18
QcZkikGEORI,Sarang,107.3948,A2,214.9752,-1.5,yes,train_[QcZkikGEORI]_chunk1.mp3,2026-08-26T15:39:36
RJsTwD34peQ,Sarang,155.2952,D♯3,311.1270,-3.0,yes,train_[RJsTwD34peQ]_chunk1.mp3,2026-08-26T15:39:54
TaQKy-gTHtM,Sarang,167.9747,E3,339.2864,-17.1,yes,train_[TaQKy-gTHtM]_chunk1.mp3,2026-08-26T15:40:42
ZuXu2ugjAB8,Sarang,146.3944,D3,291.9734,4.8,yes,train_[ZuXu2ugjAB8]_chunk1.mp3,2026-08-26T15:40:59
l_EeA2Ft__Q,Sarang,167.4458,E3,84.3331,-12.6,yes,train_[l_EeA2Ft__Q]_chunk1.mp3,2026-08-26T15:41:51
vgOWStoD0YA,Sarang,164.7513,E3,331.5371,-10.7,yes,train_[vgOWStoD0YA]_chunk1.mp3,2026-08-26T15:43:04
0Z0oyD-MGpA,Shankara,120.0298,B2,241.3015,-8.9,yes,train_[0Z0oyD-MGpA]_chunk1.mp3,2026-08-26T15:43:37
3QcNaNZyTDY,Shankara,109.7473,A2,221.2744,-14.0,yes,train_[3QcNaNZyTDY]_chunk1.mp3,2026-08-26T15:43:58
AuReo6U0Rbk,Shankara,160.9705,E3,325.8415,-20.8,yes,train_[AuReo6U0Rbk]_chunk1.mp3,2026-08-26T15:44:31
FtmlebCHC_o,Shankara,130.6936,C3,262.3834,-6.6,yes,train_[FtmlebCHC_o]_chunk1.mp3,2026-08-26T15:44:48
Gf96sPfHitw,Shankara,138.0136,C♯3,277.1826,-7.2,yes,train_[Gf96sPfHitw]_chunk1.mp3,2026-08-26T15:45:06
SIjGNm0EbHw,Shankara,138.7665,C♯3,278.7883,-7.8,yes,train_[SIjGNm0EbHw]_chunk1.mp3,2026-08-26T15:45:25
Una-nQlddfY,Shankara,156.5243,D♯3,311.1270,10.7,yes,train_[Una-nQlddfY]_chunk1.mp3,2026-08-26T15:45:57
V53jSZxaFsI,Shankara,243.2470,B3,491.0387,-16.1,yes,train_[V53jSZxaFsI]_chunk1.mp3,2026-08-26T15:46:09
W1q_rh1d-Mw,Shankara,153.8817,D♯3,314.7421,-38.8,yes,train_[W1q_rh1d-Mw]_chunk1.mp3,2026-08-26T15:46:41
Wp_WJFi-YdE,Shankara,220.6893,A3,440.0000,5.4,yes,train_[Wp_WJFi-YdE]_chunk1.mp3,2026-08-26T15:47:03
jbm9BBvqdak,Shankara,143.1775,D3,286.9575,-3.6,yes,train_[jbm9BBvqdak]_chunk1.mp3,2026-08-26T15:47:28
mdwEZIHs-Vo,Shankara,147.2124,D3,291.9734,14.5,yes,train_[mdwEZIHs-Vo]_chunk1.mp3,2026-08-26T15:48:21
mswFzDuRzhA,Shankara,151.4254,D♯3,300.5289,13.3,yes,train_[mswFzDuRzhA]_chunk1.mp3,2026-08-26T15:48:40
oJYkFY07aAQ,Shankara,163.7043,E3,325.8415,8.3,yes,test_[oJYkFY07aAQ]_chunk1.mp3,2026-08-26T15:49:06
vtsmtZYtQTs,Shankara,140.9260,C♯3,280.4033,8.9,yes,train_[vtsmtZYtQTs]_chunk1.mp3,2026-08-26T15:49:50
1KJ8bn5k008,Shivranjani,147.0439,D3,295.3660,-7.5,yes,train_[1KJ8bn5k008]_chunk1.mp3,2026-08-26T15:50:37
4cJGELPdwW0,Shivranjani,116.6552,A♯2,460.8094,21.7,yes,train_[4cJGELPdwW0]_chunk1.mp3,2026-08-26T15:51:26
XYXxITTiFFc,Shivranjani,116.1642,A♯2,233.0819,-5.6,yes,train_[XYXxITTiFFc]_chunk1.mp3,2026-08-26T15:52:04
a6DP039bw4g,Shivranjani,164.2204,E3,327.7290,3.8,yes,train_[a6DP039bw4g]_chunk1.mp3,2026-08-26T15:52:24
dCbzWOHhtrI,Shivranjani,163.5,E3,163.5,0.0,NO,test_[dCbzWOHhtrI]_chunk1.mp3,2026-08-30T18:00:00
lPKLFJxrQVc,Shivranjani,169.5404,E3,335.3893,19.0,yes,train_[lPKLFJxrQVc]_chunk1.mp3,2026-08-26T15:55:02
1EcRrZvc52o,Shree,104.7866,G♯2,210.0652,-4.1,yes,train_[1EcRrZvc52o]_chunk1.mp3,2026-08-26T15:55:43
8xKjNTc8MGI,Shree,220.4044,A3,221.2744,-6.8,yes,train_[8xKjNTc8MGI]_chunk1.mp3,2026-08-26T15:56:01
E_U0VI5ePVM,Shree,146.6303,D3,295.3660,-12.4,yes,test_[E_U0VI5ePVM]_chunk1.mp3,2026-08-26T15:56:48
GM3CVRpZlNI,Shree,147.3408,D3,293.6648,6.0,yes,train_[GM3CVRpZlNI]_chunk1.mp3,2026-08-26T15:57:20
Nh9dUYUgf8Y,Shree,165.8281,E3,329.6276,10.6,yes,train_[Nh9dUYUgf8Y]_chunk1.mp3,2026-08-26T15:59:24
SCjQC_Bwwdw,Shree,130.2263,C3,260.1187,2.2,yes,train_[SCjQC_Bwwdw]_chunk1.mp3,2026-08-26T16:00:10
Ub1m8mVxvT0,Shree,164.1286,E3,323.9648,22.8,yes,train_[Ub1m8mVxvT0]_chunk1.mp3,2026-08-26T16:00:40
YyJuFUz-kro,Shree,158.8457,D♯3,325.8415,-43.9,yes,train_[YyJuFUz-kro]_chunk1.mp3,2026-08-26T16:01:50
cPwiWDJa9OA,Shree,156.4165,D♯3,312.9293,-0.5,yes,train_[cPwiWDJa9OA]_chunk1.mp3,2026-08-26T16:02:09
pj--WoH0bow,Shree,183.3603,F♯3,180.7719,24.6,yes,train_[pj--WoH0bow]_chunk1.mp3,2026-08-26T16:03:24
